
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
3.8,0.04281346,0.05333515,0.13783054,0.02063867,0.03765519,0.01455039,0.0668228,0.03103403,0.01891526,0.02971842,0.11226217,0.02320465,0.05443918,0.02971091,0.03490585,0.04857279,0.03840539,0.05255452,0.04092676,0.02470624,0.04643263,0.02709095,0.03493482,0.02125284,0.0232515,0.01409171,0.01319339,0.02250355,0.03167365,0.02194827,0.02797525,0.02310081,0.00666175,0.03162485,0.02107475,0.02274973,0.04671703,0.04017906,0.0540541,0.15233871,0.04456848,0.03627899,0.04895836,0.02060542,0.03838938,0.030167,0.03018972,0.0413944,0.02092237,0.02504323,0.01431448,0.02838626,0.02268081,0.0372662,0.06892771,0.07736746,0.16588228,0.229975,0.1528731,0.16026647,0.230722,0.17296023,0.15047732,0.0803828,0.02444186,0.03905818,0.03725646,0.01120516,0.00696252,0.02624628,0.05452471,0.04160879,0.03871199,0.0211973,0.03005195,0.03759853,0.0442697,0.03223625,0.02633436,0.05624917,0.01825556,0.02651692,0.0108451,0.02423827,0.08957462,0.0531274,0.03253556,0.0729504,0.08108112,0.05582922,0.17609363,0.07708073,0.02609858,0.02198059,0.03776688,0.01944455,0.03821132,0.09982035,0.04013146,0.10043863,0.04988584,0.04579804,0.27776035,0.0598634
4.0,0.0,0.04938412,0.13208344,0.01846402,0.03607378,0.01411476,0.06345986,0.02563585,0.0151734,0.02958553,0.08969512,0.02517152,0.04631133,0.02548915,0.03206314,0.04946098,0.03651291,0.04711522,0.03662615,0.0214694,0.03970757,0.02538293,0.03405054,0.01913164,0.02101212,0.01253408,0.01256917,0.01947708,0.03104014,0.01986503,0.02828183,0.02257324,0.00613888,0.02952833,0.01836375,0.01953604,0.03641478,0.04227076,0.05045462,0.14426814,0.0484804,0.03197165,0.04633254,0.02078536,0.03182117,0.02508537,0.02894509,0.03722267,0.02012769,0.02170476,0.01272663,0.02460663,0.01930591,0.04454794,0.06874792,0.07470756,0.17625218,0.22885263,0.1410739,0.162645,0.21608466,0.18050287,0.13773032,0.07090937,0.02212729,0.03440967,0.03192388,0.01004025,0.0059927,0.02400022,0.05034822,0.04157648,0.03318001,0.02087994,0.02716667,0.03107079,0.0392925,0.0269073,0.02082405,0.04921665,0.01559726,0.02358903,0.00959374,0.02082041,0.078971,0.04407469,0.03090817,0.06475493,0.08002971,0.05530103,0.1583655,0.06161636,0.02932803,0.01779587,0.03491506,0.02028539,0.03301057,0.08712964,0.03879772,0.08363473,0.03912702,0.03804661,0.25467417,0.05136001
4.2,0.0,0.0461024,0.12641682,0.01681288,0.03275248,0.01251003,0.06037168,0.02206848,0.01288765,0.02728608,0.07381398,0.02490702,0.03943853,0.02505696,0.028545,0.04872422,0.03466049,0.04387336,0.03104566,0.01760268,0.03535804,0.02455819,0.03544039,0.01689142,0.01907412,0.0116833,0.01232483,0.01684172,0.02938674,0.01731816,0.02817476,0.02253274,0.00562728,0.0272927,0.0157516,0.01682183,0.03160692,0.04054903,0.04837253,0.13450819,0.04466874,0.02897047,0.04038655,0.02308573,0.02775321,0.02065799,0.02660567,0.03179139,0.01638058,0.01962181,0.01425214,0.02465445,0.01763765,0.05134541,0.06507323,0.07824565,0.18360895,0.21246732,0.13910581,0.15718712,0.1973818,0.17987917,0.1543379,0.07098941,0.02030328,0.03088631,0.02955685,0.00907611,0.00536854,0.02199148,0.04694846,0.04285508,0.0297086,0.01901507,0.02676619,0.02445343,0.03360243,0.02170653,0.01782232,0.04482447,0.01374101,0.02127651,0.00855818,0.01688356,0.06810707,0.03682094,0.02821895,0.06103786,0.06767059,0.05982242,0.14154861,0.05392523,0.03212065,0.01705309,0.03120377,0.01816876,0.02819312,0.07352115,0.04052626,0.07582721,0.03133965,0.0325741,0.23144594,0.04402299
4.4,0.0,0.04329711,0.12455512,0.01505068,0.03209146,0.01097805,0.05763346,0.01994776,0.01080875,0.0249915,0.0623867,0.02329767,0.03302089,0.02504127,0.02545462,0.04522566,0.03285199,0.0403319,0.02559795,0.01510307,0.03149567,0.02314044,0.035338,0.01503103,0.01620863,0.01109226,0.01058731,0.01486198,0.02676026,0.01489238,0.02717856,0.02190875,0.00514084,0.02553148,0.01336548,0.01457196,0.03034289,0.03521907,0.04728404,0.11449596,0.04221815,0.02552529,0.03482935,0.02156671,0.02532669,0.01868352,0.02414847,0.02597777,0.01387979,0.01753497,0.01647448,0.02401863,0.01712395,0.05563026,0.06149505,0.08217802,0.19232201,0.20089928,0.15210557,0.17078801,0.18226923,0.18471062,0.16212055,0.07299364,0.01842963,0.02711541,0.02526483,0.00823191,0.00476078,0.02051358,0.04139887,0.04040334,0.02495088,0.01833561,0.02374365,0.0198159,0.02828777,0.01779443,0.01845992,0.03726731,0.01247906,0.01765666,0.00774161,0.0137739,0.05500369,0.03158952,0.02512936,0.05712562,0.05696367,0.06059372,0.1222596,0.05627825,0.03436253,0.01630446,0.02928763,0.01602463,0.02437686,0.06196294,0.04020393,0.06845011,0.02703204,0.02840939,0.20903462,0.03886339
4.6,0.0,0.04139168,0.12859491,0.01332301,0.02996103,0.0099004,0.05474289,0.0176508,0.00909326,0.02256867,0.05763186,0.02091272,0.03206193,0.0233807,0.02242957,0.04435406,0.03057555,0.03681941,0.02175976,0.01389863,0.02771781,0.02165181,0.03473628,0.01513519,0.0128656,0.01065244,0.00956861,0.01372516,0.02352412,0.01280479,0.02641229,0.0205463,0.00469372,0.02370083,0.01231275,0.01273739,0.03115279,0.0351881,0.04666889,0.09697487,0.03939569,0.02216971,0.03161041,0.01913779,0.02528254,0.01870065,0.02230205,0.02158621,0.01324755,0.0162035,0.01737921,0.0218442,0.01588433,0.05749149,0.05831985,0.08284759,0.19865967,0.21887132,0.16427217,0.18834922,0.16819324,0.19691497,0.17207752,0.07796045,0.01688172,0.02319083,0.02287964,0.00888546,0.00419858,0.01899091,0.03422242,0.03516418,0.02201209,0.01725193,0.02298701,0.01749508,0.02439776,0.01623411,0.01801975,0.03190606,0.01085988,0.01613719,0.00730473,0.0129672,0.04211078,0.02718161,0.0220079,0.05149606,0.05150964,0.05417304,0.10786203,0.05770644,0.0334279,0.01380193,0.0259765,0.0141581,0.02078994,0.05738727,0.03634223,0.06094308,0.02470601,0.02603404,0.18681641,0.0335383
4.8,0.0,0.0393578,0.12857542,0.01204768,0.02671725,0.00926185,0.05095943,0.01494505,0.00759098,0.02032982,0.05351639,0.01912077,0.03102067,0.02227802,0.01955538,0.04588354,0.02767178,0.0332652,0.01895312,0.01464153,0.02460907,0.02141481,0.03466757,0.01444174,0.01098493,0.00960459,0.00883457,0.01205204,0.02007646,0.01105446,0.02485602,0.02016405,0.00429366,0.02204573,0.01183856,0.01124497,0.03096048,0.03666093,0.04586672,0.08702294,0.04007955,0.02076245,0.02914431,0.01730173,0.02610594,0.01920463,0.02093708,0.01840813,0.01317517,0.0141242,0.01726415,0.01932811,0.01486115,0.05525939,0.05823362,0.08182444,0.19465465,0.22402376,0.17573246,0.19234317,0.15115939,0.19767862,0.17666036,0.08234159,0.01574053,0.0205016,0.02209906,0.00905787,0.0039643,0.01780304,0.02794808,0.02927653,0.02031747,0.01735622,0.02271473,0.01666918,0.02143822,0.01685787,0.01595783,0.02884727,0.00953584,0.01465711,0.00658554,0.01167025,0.03519681,0.02424157,0.02021053,0.04164657,0.05025775,0.04347781,0.09569227,0.06606682,0.03236344,0.01266484,0.02145027,0.01180402,0.01813481,0.0514606,0.031942,0.0533177,0.02221851,0.02434284,0.1620103,0.02926844
5.0,0.0,0.03727533,0.12473897,0.01113887,0.02288694,0.00904055,0.04846858,0.01250363,0.00642066,0.01905203,0.04642607,0.01808434,0.02952804,0.02156318,0.0174139,0.04651405,0.02516145,0.02989782,0.01789782,0.0154927,0.02190584,0.02015757,0.03424215,0.01407554,0.00917454,0.00796812,0.00801676,0.01066863,0.01761009,0.00992685,0.02271372,0.01934933,0.00394176,0.02106618,0.01122901,0.0100211,0.03098494,0.03799923,0.04670879,0.07800363,0.03979987,0.02124636,0.02689677,0.01566201,0.026475,0.01906014,0.01944663,0.01658475,0.01287353,0.01350763,0.01631857,0.01753404,0.0135605,0.0499566,0.05584043,0.08195979,0.18112722,0.2164482,0.17850044,0.18417531,0.13902925,0.19682448,0.18235511,0.08396224,0.01460635,0.01800883,0.02074433,0.00880715,0.0036206,0.01792889,0.02319316,0.02381793,0.01956504,0.01834313,0.02324932,0.0165414,0.01950419,0.01770802,0.01507305,0.02606749,0.0095118,0.01413177,0.00576156,0.01088151,0.03119999,0.02220588,0.01969034,0.03601504,0.05080828,0.03827972,0.0830823,0.06981052,0.03328482,0.01169641,0.01863265,0.01092527,0.01608295,0.04723788,0.02668508,0.04571964,0.02112057,0.021759,0.13727012,0.02770107
5.5,0.0,0.03189426,0.10175224,0.00999726,0.01382175,0.00897637,0.0416558,0.00980265,0.00474106,0.01625382,0.03396654,0.02172017,0.02483005,0.02148082,0.01573631,0.04337682,0.02165238,0.02358171,0.01485274,0.01566676,0.01828685,0.0169961,0.0360852,0.01418973,0.00625092,0.00519056,0.00545842,0.00858115,0.01345247,0.00766412,0.01832868,0.01751013,0.00324471,0.01801695,0.00935582,0.00777016,0.02783811,0.03721762,0.0438784,0.05989444,0.0378425,0.02421602,0.02610943,0.01569305,0.02269253,0.01554692,0.01698552,0.01433743,0.00997798,0.0156015,0.01223079,0.01675152,0.01077538,0.03492053,0.04661436,0.08793263,0.13677331,0.17058873,0.15947627,0.14514656,0.10769794,0.16926158,0.16173907,0.08743226,0.01194433,0.01458984,0.01750825,0.00687441,0.0027501,0.02085025,0.01985213,0.01562506,0.02087665,0.01767402,0.02317003,0.01645631,0.01882172,0.02064205,0.01463298,0.02519961,0.00960489,0.01569164,0.00507546,0.01028448,0.02879669,0.01752546,0.01907512,0.02713487,0.05046306,0.0298349,0.06246458,0.06356994,0.03422052,0.01029389,0.01769884,0.01030621,0.0136051,0.03816176,0.0222626,0.03130437,0.01777087,0.01563111,0.09532054,0.02219115
6.0,0.0,0.02733579,0.08177133,0.00913823,0.010131,0.00742993,0.03522749,0.00718182,0.00383879,0.01514277,0.02772229,0.02429489,0.02169743,0.021246,0.01727055,0.03540158,0.01587663,0.02108736,0.01419769,0.01430265,0.01522891,0.01499439,0.0354177,0.01418741,0.00442925,0.00360669,0.00400585,0.00725228,0.01142857,0.00553746,0.01727736,0.01599501,0.00273552,0.01541834,0.00770488,0.00621626,0.0235782,0.03512298,0.03877819,0.04616371,0.03514899,0.02287968,0.01998464,0.01321591,0.01911693,0.01381556,0.01536958,0.01471168,0.00667588,0.01547544,0.01152303,0.01868936,0.00772546,0.02531297,0.04004526,0.0892273,0.13194202,0.13337718,0.12852153,0.10828385,0.09995684,0.12629503,0.12683441,0.0787157,0.00986654,0.01187729,0.01572573,0.00543047,0.00239231,0.02143611,0.02197236,0.01388405,0.02314109,0.01792368,0.02410727,0.01643242,0.02060551,0.02164566,0.01125781,0.0261478,0.00919071,0.01699286,0.00436578,0.01025949,0.02379776,0.01561201,0.01596332,0.02316062,0.04279353,0.02657845,0.04489005,0.04986573,0.03141031,0.01078513,0.01468082,0.01096569,0.0137033,0.02725107,0.0185109,0.02380719,0.01470109,0.01268033,0.07181478,0.01597988
6.5,0.0,0.02469219,0.07671017,0.00794815,0.00812054,0.00651184,0.03082197,0.00557229,0.00324886,0.01471552,0.02166964,0.0220619,0.01926417,0.02270667,0.01957516,0.02875114,0.01335582,0.01904093,0.01485191,0.0138466,0.01459131,0.0146512,0.03343161,0.01293876,0.00363383,0.00287627,0.00302749,0.00633919,0.00943834,0.00444488,0.01594996,0.01449568,0.00234282,0.0134107,0.00652498,0.00507598,0.02138112,0.02952288,0.03097189,0.03752259,0.02884947,0.02057541,0.01679936,0.0142137,0.01622345,0.01397024,0.01599218,0.02008939,0.00550947,0.01385758,0.01236491,0.0183213,0.00833884,0.02182234,0.03203791,0.08645388,0.12826632,0.09908353,0.12817799,0.10600988,0.1000519,0.11540981,0.12745201,0.07254569,0.00807544,0.00914636,0.01495696,0.00476683,0.00211127,0.0196576,0.02437206,0.01362444,0.02507447,0.01556699,0.02324288,0.01566171,0.01931075,0.02121398,0.00891544,0.02529393,0.00943749,0.01812785,0.00420026,0.01260406,0.01783695,0.01289787,0.01273223,0.02003844,0.03355182,0.02151249,0.03719318,0.03716614,0.02205185,0.00953695,0.01194906,0.01030002,0.01300634,0.01925398,0.01570287,0.01853246,0.01266327,0.00980911,0.05619343,0.01282696
7.0,0.0,0.02272529,0.07707592,0.00670039,0.00634596,0.00513868,0.02616928,0.00429829,0.00223251,0.0136375,0.01667117,0.01839557,0.01775527,0.02104125,0.01956432,0.02445233,0.01049738,0.01835679,0.01431149,0.01205115,0.01440227,0.0145056,0.03024102,0.01094151,0.00291398,0.00225752,0.00235665,0.00529412,0.00761627,0.00396809,0.0139429,0.01235972,0.00202663,0.01198504,0.00571561,0.00421832,0.01910402,0.02374033,0.02563188,0.03008035,0.02300158,0.01752532,0.01581495,0.01401043,0.01499442,0.01440677,0.01651973,0.01998541,0.00620661,0.01581603,0.0153114,0.01745699,0.00891196,0.02114734,0.0285787,0.08191548,0.11988548,0.11792197,0.12231841,0.12274567,0.10002761,0.11679909,0.10458504,0.06556696,0.00709491,0.00734016,0.01471541,0.00401483,0.00183243,0.01833648,0.0240636,0.01482969,0.02301196,0.01267274,0.01994505,0.01391079,0.01830665,0.01966056,0.00759314,0.02297009,0.00823325,0.01754753,0.00371181,0.01259317,0.01487519,0.00982987,0.01121097,0.01561839,0.02549058,0.01782844,0.02946204,0.03027119,0.01616076,0.00783491,0.00880225,0.00974526,0.01063993,0.01573748,0.0131734,0.01472669,0.00996489,0.00845416,0.04364685,0.01099702
7.5,0.0,0.02032723,0.07274148,0.00568034,0.0051431,0.00431432,0.02156277,0.00341181,0.00187296,0.0130562,0.0140315,0.01474407,0.01674876,0.01812237,0.02098823,0.02185939,0.00819172,0.0159129,0.013568,0.01055996,0.01317817,0.01375426,0.02709839,0.00938195,0.00223228,0.00192354,0.00203544,0.00478185,0.00608725,0.00346039,0.0116655,0.01044569,0.00176596,0.0107022,0.0049912,0.00355947,0.01664119,0.01858777,0.02024051,0.02463197,0.018462,0.01429939,0.01448625,0.01398791,0.0129684,0.01317968,0.01667247,0.01706093,0.00702812,0.01573827,0.01700442,0.01753073,0.00788642,0.02270244,0.03013695,0.07800129,0.10981577,0.12197439,0.1041129,0.12358634,0.09581641,0.10403821,0.08436496,0.05868788,0.00604863,0.00617418,0.01345864,0.00371869,0.00156375,0.01661881,0.02135741,0.01375362,0.01999822,0.01141088,0.01610315,0.01258992,0.01532186,0.01559701,0.00675557,0.01866784,0.00787079,0.015673,0.00385593,0.00981156,0.01185874,0.00834794,0.00993119,0.01267996,0.02090197,0.01423477,0.02228869,0.02364309,0.01310537,0.00642681,0.00706113,0.00873072,0.00904454,0.01397939,0.01123381,0.01193626,0.00747488,0.00708047,0.0360595,0.00955826
8.0,0.0,0.01825622,0.06915869,0.0048192,0.00458089,0.00347981,0.01839086,0.00281024,0.00168301,0.01278189,0.01211636,0.01230847,0.0161588,0.01474072,0.02126792,0.0182365,0.0066337,0.01370786,0.01229451,0.00966715,0.01245737,0.01239207,0.02475422,0.00843529,0.0019127,0.00171051,0.00176699,0.00418297,0.00486031,0.00296529,0.00916156,0.00869226,0.00154855,0.00930952,0.0043086,0.00304614,0.01541656,0.01524616,0.0156278,0.02110596,0.01500947,0.01172422,0.01548552,0.01232927,0.01213156,0.01039023,0.01542659,0.01364961,0.00678236,0.01342064,0.0162276,0.01566523,0.00776123,0.02193362,0.02980268,0.07350187,0.10191524,0.11528054,0.09475848,0.1120085,0.0895508,0.09582689,0.08710814,0.05227826,0.00557982,0.00517035,0.01042377,0.00342909,0.00140873,0.01465973,0.01818595,0.01381665,0.01810368,0.01022424,0.01401643,0.01211403,0.0118041,0.01175713,0.00620954,0.01485714,0.00757001,0.01249118,0.00404035,0.00769451,0.01026328,0.00666339,0.00888995,0.01048456,0.01701748,0.01186966,0.01858657,0.0197499,0.01142274,0.00552711,0.00603466,0.00769697,0.00784385,0.01203783,0.00964917,0.00985437,0.00562347,0.00565961,0.02908005,0.00838252
8.5,0.0,0.01661295,0.06729687,0.00410108,0.00404051,0.00278931,0.01611393,0.0023969,0.00150625,0.01141008,0.01040284,0.00999486,0.01580457,0.01173973,0.02009807,0.01568655,0.00561243,0.01199318,0.01099726,0.00905093,0.01107949,0.01051307,0.02259445,0.00787676,0.00170379,0.00164276,0.0015422,0.00353325,0.00390178,0.00240567,0.00726309,0.00704397,0.00136606,0.00783498,0.00386628,0.00264006,0.01629949,0.0130713,0.01367801,0.01964433,0.01268925,0.01132227,0.01476759,0.01002103,0.01125952,0.00979438,0.01303374,0.01076427,0.00596834,0.01159044,0.01386224,0.01264673,0.00760117,0.02174669,0.02797069,0.06861798,0.09604161,0.10346119,0.09196892,0.09728989,0.08721678,0.0918545,0.09739533,0.04878907,0.00488632,0.00443458,0.00872351,0.00332841,0.00121978,0.01257573,0.01468325,0.01269415,0.01602212,0.00994942,0.01277501,0.01180839,0.00972696,0.00936779,0.00482546,0.01244347,0.00702718,0.01026546,0.00449369,0.00635111,0.00839195,0.00536321,0.00779487,0.00848368,0.01447248,0.01006397,0.01560939,0.01598379,0.00991964,0.00481328,0.0051695,0.0069505,0.00682603,0.01004933,0.00827531,0.00826481,0.00458621,0.00442615,0.02407722,0.00735997
9.0,0.0,0.01509183,0.0648622,0.0035115,0.00354905,0.00235568,0.01401222,0.00209022,0.00135885,0.01050423,0.00892257,0.00834229,0.01488753,0.00933589,0.01776591,0.01385309,0.00487672,0.01008422,0.00983771,0.0084334,0.00936246,0.00867167,0.02055594,0.00758726,0.00155627,0.00150681,0.00135356,0.00294392,0.00324467,0.00190504,0.00594699,0.00569727,0.00121214,0.00681179,0.00344388,0.00231369,0.01520026,0.01128596,0.01137537,0.0180473,0.010736,0.00992869,0.01251694,0.00893331,0.00986744,0.00880897,0.01185752,0.00920916,0.00569901,0.01026554,0.01179573,0.01211794,0.00670681,0.02059436,0.02641304,0.06322016,0.08558322,0.09033329,0.09490694,0.08386706,0.08113152,0.08987156,0.10094102,0.04506858,0.00450815,0.00399254,0.00734526,0.00320745,0.00105098,0.01065947,0.01321729,0.01083004,0.01389905,0.00874615,0.01085048,0.01163229,0.00838237,0.00770023,0.00438752,0.01107907,0.00669453,0.00794718,0.00416352,0.00498552,0.00767798,0.00460156,0.00676451,0.00737013,0.01264608,0.00806294,0.01321299,0.01407101,0.00844155,0.00417576,0.00464225,0.00621574,0.00594246,0.00921549,0.00729741,0.00703491,0.00387874,0.00354932,0.02180002,0.0066977
9.5,0.0,0.01361133,0.06144575,0.00301515,0.0031174,0.00206453,0.01214503,0.00183338,0.00123454,0.01005451,0.00786186,0.0072578,0.01338707,0.00764182,0.01508591,0.01202744,0.00426226,0.00846267,0.00848661,0.00763238,0.00756311,0.00713405,0.01873683,0.00715987,0.00142142,0.00123213,0.00119467,0.00254198,0.00275297,0.00160043,0.00506901,0.00474676,0.0010817,0.00597172,0.00310424,0.0020472,0.01252825,0.00989931,0.00944349,0.01623625,0.00920774,0.00832486,0.01046963,0.00867206,0.00875932,0.00765156,0.01092736,0.00853399,0.00586463,0.00930869,0.00998908,0.01154774,0.00546081,0.01808571,0.0245833,0.0571552,0.07089543,0.08481668,0.0921483,0.07991207,0.0721221,0.08789556,0.09349028,0.04146114,0.00410519,0.00359489,0.00632485,0.00296463,0.0009139,0.00890159,0.01164885,0.00879731,0.01259323,0.00745098,0.00924037,0.01101391,0.00758308,0.00680118,0.00384053,0.01005267,0.00588942,0.00586447,0.00379374,0.00403019,0.00725099,0.0042027,0.00577784,0.00658076,0.01082896,0.006853,0.01111763,0.01218125,0.00766538,0.00357671,0.00395039,0.00563042,0.00549981,0.00823181,0.00676371,0.00607617,0.00337198,0.00315147,0.01944636,0.00626645
10.0,0.0,0.01215585,0.05600407,0.00263846,0.00274552,0.00178988,0.01052812,0.00163556,0.00113482,0.00901196,0.00693794,0.00624452,0.01172448,0.00634205,0.01287861,0.01033345,0.00369747,0.0071309,0.00711541,0.00693442,0.00658728,0.00593033,0.01686725,0.00653529,0.00128412,0.00110571,0.00106021,0.00221256,0.00236265,0.0013895,0.00430303,0.00392817,0.00097061,0.00523171,0.00264928,0.0018264,0.01021284,0.00880098,0.00810167,0.01428901,0.008098,0.00743863,0.00853178,0.00846571,0.00782984,0.00700561,0.01063591,0.00823125,0.00592636,0.00846588,0.0091965,0.01086076,0.00442013,0.01578363,0.02346544,0.05055792,0.06244321,0.07806881,0.08305706,0.0753073,0.06204423,0.08081669,0.0830335,0.03802504,0.00357799,0.0032397,0.00531219,0.00264337,0.00085447,0.00763548,0.01029946,0.00747604,0.01128231,0.00672306,0.00781917,0.01003818,0.00715822,0.00617096,0.00328237,0.00900324,0.00492476,0.00490521,0.00345916,0.00335332,0.00687751,0.00391967,0.00483708,0.00575492,0.00919114,0.00602881,0.00932831,0.01033381,0.0068483,0.00305232,0.0034298,0.00494672,0.00486688,0.00718216,0.00630705,0.00532104,0.00298815,0.00283968,0.01711985,0.00571037
11.0,0.0,0.00960747,0.04261243,0.00216612,0.00216075,0.00133007,0.0079756,0.00132703,0.00090472,0.00674721,0.00547136,0.00475405,0.00977272,0.00430195,0.01084303,0.008449,0.00268867,0.00545303,0.00452342,0.00585589,0.00504624,0.00419275,0.0137991,0.00547586,0.00102131,0.00079051,0.00084808,0.00161357,0.00205762,0.00119785,0.00311992,0.00277807,0.00079357,0.00416929,0.00191739,0.00148346,0.00875719,0.00715348,0.00706898,0.01168659,0.00666383,0.00664201,0.00560672,0.00750488,0.00689514,0.00631532,0.00986685,0.00665359,0.005136,0.00718762,0.00879849,0.0094445,0.00494331,0.01326518,0.02010732,0.04281144,0.04907697,0.06111045,0.06082811,0.06137655,0.04884373,0.05905036,0.06214346,0.03093744,0.00293392,0.00264378,0.00424138,0.00192104,0.00078872,0.00621967,0.00786868,0.00656071,0.00861148,0.00536975,0.00573249,0.00728955,0.00569119,0.00504607,0.00254248,0.00735705,0.00370099,0.00391021,0.00242849,0.00254601,0.00525206,0.00328717,0.0041263,0.00429587,0.00695433,0.00453073,0.00657861,0.00714372,0.00565163,0.00246425,0.00249456,0.00377804,0.00368171,0.00614448,0.00574728,0.00422249,0.00242771,0.00224839,0.01289728,0.00467786
12.0,0.0,0.00768968,0.03273993,0.00180609,0.00174079,0.00105576,0.00647071,0.00109627,0.00071615,0.00577714,0.00437302,0.0036565,0.00810262,0.00322744,0.00892145,0.00715094,0.00240406,0.00456496,0.00357837,0.00450569,0.00396086,0.00320761,0.01116553,0.0043043,0.00081929,0.00057505,0.00069141,0.0013172,0.00186613,0.00103224,0.00234731,0.00213396,0.00066085,0.0034225,0.00141475,0.00123117,0.00727843,0.00577438,0.00539418,0.01000744,0.00565561,0.00561015,0.00437786,0.00600939,0.00718526,0.00596256,0.00886486,0.00550969,0.00354162,0.00614526,0.00801031,0.00924344,0.00524917,0.00990379,0.01754886,0.037065,0.03645773,0.04571308,0.0489697,0.04800025,0.04049783,0.0471523,0.04406265,0.02411423,0.00254946,0.00217595,0.00353372,0.00174507,0.0006965,0.00495633,0.00600776,0.00525638,0.00653996,0.00393631,0.00433686,0.00563347,0.0045602,0.00397768,0.00198201,0.00591344,0.00286511,0.00319086,0.00173934,0.00201631,0.0039194,0.00354684,0.00363917,0.00332223,0.00554047,0.00367786,0.00536252,0.00568604,0.00426053,0.0020106,0.00184058,0.00284415,0.00265272,0.00473703,0.00490021,0.00346288,0.00201488,0.00177556,0.00959989,0.00376499
13.0,0.0,0.00635498,0.02608818,0.00154805,0.00144348,0.00080705,0.00550846,0.00091952,0.00060142,0.00476663,0.00351882,0.00273643,0.00682811,0.00257172,0.00734605,0.00606634,0.00210492,0.00384746,0.00277256,0.00351142,0.00310402,0.00253419,0.0091954,0.00334684,0.00068245,0.0005391,0.00057325,0.00113689,0.00168842,0.00083358,0.00190514,0.00169185,0.00055912,0.00286157,0.00114333,0.00103919,0.00667188,0.00546244,0.0048214,0.00818752,0.00538793,0.00523053,0.00375109,0.00438208,0.00724668,0.00584105,0.00839609,0.0049246,0.00241352,0.00513308,0.00728629,0.0083036,0.00534761,0.00824785,0.01415029,0.03125879,0.03142931,0.03820109,0.03828114,0.03987136,0.0324312,0.03779595,0.03120256,0.0202382,0.00214123,0.00180832,0.00301679,0.00152852,0.00062273,0.00415351,0.00526808,0.00407494,0.00541272,0.00297043,0.00345997,0.00449725,0.00366588,0.00331219,0.00143282,0.00449007,0.00230452,0.00261159,0.00141114,0.00179106,0.00353666,0.00342916,0.00313645,0.00264928,0.00454643,0.00293009,0.00459014,0.00449139,0.0035033,0.00178297,0.00148178,0.00233722,0.00214588,0.00380032,0.00382089,0.00292585,0.00169104,0.00152864,0.00766295,0.00345359
14.0,0.0,0.00535028,0.02116543,0.00135246,0.00122191,0.00065717,0.00472489,0.00078221,0.00055188,0.00382353,0.00286655,0.00207703,0.00565739,0.00204009,0.00588213,0.00517283,0.00181356,0.00327059,0.00219492,0.00267645,0.00245259,0.00205571,0.00753034,0.0024884,0.00058903,0.00047606,0.00048237,0.00097277,0.00151197,0.00072677,0.00158736,0.00137317,0.00047952,0.00242096,0.00099989,0.00088927,0.00639171,0.00537356,0.0040992,0.00668755,0.00536214,0.00508932,0.00329211,0.00319649,0.00686516,0.00575909,0.00760515,0.004671,0.00227094,0.00443458,0.00681267,0.00749576,0.00550075,0.00755545,0.01184695,0.02592567,0.02629042,0.03159286,0.03053352,0.03221382,0.02537352,0.03038286,0.02727868,0.01781385,0.00177048,0.00151793,0.00256564,0.00130951,0.00053793,0.00346081,0.00443462,0.00297326,0.00464642,0.00246364,0.00274986,0.00347152,0.00287459,0.0028185,0.00119771,0.00365367,0.00181302,0.00214084,0.00116315,0.00163663,0.00289855,0.00304382,0.00265716,0.00211568,0.00397632,0.00231159,0.00383307,0.00359642,0.00303436,0.00152889,0.00124901,0.00208159,0.001773,0.00325039,0.00328935,0.00253319,0.00143459,0.00130747,0.00664432,0.0031052
