
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-06-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.5
Magnitude Max:, 8.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, 500.0
Vs30 Max (m/sec):, 10000.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 100
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, Normal+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
16, SRSS, 794, 0.2499, 1.0, -, 4.4, 9.5, 0.1, "Loma Prieta", 1989, "SF - Diamond Heights", 6.93, Reverse Oblique, 71.23, 71.33, 582.9, 0.0875, 1.0, RSN794_LOMAP_DMH000.AT2, RSN794_LOMAP_DMH090.AT2 , RSN794_LOMAP_DMH-UP.AT2  
17, SRSS, 796, 0.1661, 1.0, -, 4.7, 10.2, 0.3, "Loma Prieta", 1989, "SF - Presidio", 6.93, Reverse Oblique, 77.34, 77.43, 594.47, 0.1, 1.0, RSN796_LOMAP_PRS000.AT2, RSN796_LOMAP_PRS090.AT2 , RSN796_LOMAP_PRS-UP.AT2  
18, SRSS, 797, 0.4612, 1.0, -, 8.2, 14.2, 0.1, "Loma Prieta", 1989, "SF - Rincon Hill", 6.93, Reverse Oblique, 74.04, 74.14, 873.1, 0.125, 1.0, RSN797_LOMAP_RIN000.AT2, RSN797_LOMAP_RIN090.AT2 , RSN797_LOMAP_RIN-UP.AT2  
19, SRSS, 801, 0.4196, 1.0, -, 6.3, 10.1, 1.3, "Loma Prieta", 1989, "San Jose - Santa Teresa Hills", 6.93, Reverse Oblique, 14.18, 14.69, 671.77, 0.0375, 1.0, RSN801_LOMAP_SJTE225.AT2, RSN801_LOMAP_SJTE315.AT2 , RSN801_LOMAP_SJTE-UP.AT2  
20, SRSS, 804, 0.4894, 1.0, -, 5.3, 12.1, 0.1, "Loma Prieta", 1989, "So. San Francisco_ Sierra Pt.", 6.93, Reverse Oblique, 63.03, 63.15, 1020.62, 0.1, 1.0, RSN804_LOMAP_SSF115.AT2, RSN804_LOMAP_SSF205.AT2 , RSN804_LOMAP_SSF-UP.AT2  
21, SRSS, 942, 0.3294, 1.0, -, 9.8, 21.2, 0.2, "Northridge-01", 1994, "Alhambra - Fremont School", 6.69, Reverse, 35.66, 36.77, 549.75, 0.24, 1.0, RSN942_NORTHR_ALH090.AT2, RSN942_NORTHR_ALH360.AT2 , RSN942_NORTHR_ALH-UP.AT2  
22, SRSS, 950, 0.4057, 1.0, -, 6.9, 13.8, 0.1, "Northridge-01", 1994, "Baldwin Park - N Holly", 6.69, Reverse, 47.72, 47.98, 544.68, 0.3125, 1.0, RSN950_NORTHR_NHO180.AT2, RSN950_NORTHR_NHO270.AT2 , RSN950_NORTHR_NHO-UP.AT2  
23, SRSS, 954, 0.4286, 1.0, -, 6.1, 10.7, 0.5, "Northridge-01", 1994, "Big Tujunga_ Angeles Nat F", 6.69, Reverse, 19.1, 19.74, 550.11, 0.4125, 1.0, RSN954_NORTHR_TUJ262.AT2, RSN954_NORTHR_TUJ352.AT2 , RSN954_NORTHR_TUJ-UP.AT2  
24, SRSS, 957, 0.2149, 1.0, -, 5.9, 11.6, 0.3, "Northridge-01", 1994, "Burbank - Howard Rd.", 6.69, Reverse, 15.87, 16.88, 581.93, 0.125, 1.0, RSN957_NORTHR_HOW060.AT2, RSN957_NORTHR_HOW330.AT2 , RSN957_NORTHR_HOW-UP.AT2  
25, SRSS, 989, 0.2825, 1.0, -, 5.6, 9.0, 0.7, "Northridge-01", 1994, "LA - Chalon Rd", 6.69, Reverse, 9.87, 20.45, 740.05, 0.2625, 1.0, RSN989_NORTHR_CHL070.AT2, RSN989_NORTHR_CHL160.AT2 , RSN989_NORTHR_CHL-UP.AT2  
26, SRSS, 1011, 0.143, 1.0, -, 5.1, 8.7, 0.2, "Northridge-01", 1994, "LA - Wonderland Ave", 6.69, Reverse, 15.11, 20.29, 1222.52, 0.175, 1.0, RSN1011_NORTHR_WON095.AT2, RSN1011_NORTHR_WON185.AT2 , RSN1011_NORTHR_WON-UP.AT2  
27, SRSS, 1020, 0.3245, 1.0, -, 5.4, 9.8, 0.5, "Northridge-01", 1994, "Lake Hughes #12A", 6.69, Reverse, 20.77, 21.36, 602.1, 0.12, 1.0, RSN1020_NORTHR_H12090.AT2, RSN1020_NORTHR_H12180.AT2 , RSN1020_NORTHR_H12-UP.AT2  
28, SRSS, 1023, 0.4653, 1.0, -, 5.4, 9.3, 0.2, "Northridge-01", 1994, "Lake Hughes #9", 6.69, Reverse, 24.86, 25.36, 670.84, 0.175, 1.0, RSN1023_NORTHR_L09000.AT2, RSN1023_NORTHR_L09090.AT2 , RSN1023_NORTHR_L09-UP.AT2  
29, SRSS, 1058, 0.4679, 1.0, -, 5.8, 10.3, 0.6, "Northridge-01", 1994, "Point Mugu - Laguna Peak", 6.69, Reverse, 36.61, 41.93, 527.7, 0.375, 1.0, RSN1058_NORTHR_PTM000.AT2, RSN1058_NORTHR_PTM090.AT2 , RSN1058_NORTHR_PTM-UP.AT2  
30, SRSS, 1078, 0.4019, 1.0, -, 4.4, 8.3, 0.9, "Northridge-01", 1994, "Santa Susana Ground", 6.69, Reverse, 1.69, 16.74, 715.12, 0.14, 1.0, RSN1078_NORTHR_SSU000.AT2, RSN1078_NORTHR_SSU090.AT2 ,  -----   
